药品名称,适应症,参考价
盐酸曲马多缓释片,用于癌症疼痛、骨折或术后疼痛...,
澳天力牌褪黑素片,改善睡眠,￥72
氨酚伪麻片Ⅱ,本品适用于治疗和减轻感冒引起...,
注射用盐酸丁卡因,用于硬膜外阻滞、蛛网膜下腔阻...,
三七伤药片,舒筋活血，散瘀止痛。用于跌打...,￥6.3
风湿安泰片,舒筋活血，祛风镇痛。用于筋骨...,￥40.8
骨刺片,散风邪，祛寒湿，舒筋活血，通...,￥16.5
麝香祛痛气雾剂,活血祛瘀，舒经活络，消肿止痛...,￥43
尼美舒利颗粒,本品为非甾体抗炎药，仅在至少...,￥9.8
壮骨麝香止痛膏,祛风湿，活血止痛。用于风湿关...,￥20.7
清火胶囊,清热泻火，通便。用于咽喉肿痛...,￥12.5
硫酸阿托品片,1）各种内脏绞痛，如胃肠绞痛...,￥3.4
新力正骨喷雾剂,接骨强筋，活血散瘀，消肿镇痛...,
复方追风膏,祛风散寒、活血止痛。用于风湿...,￥24
伊血安颗粒,活血止血，行气止痛。用于产后...,￥54.4
复方氯唑沙宗分散片,用于各种急性骨骼肌损伤。,￥16.5
归芪养血益气口服液,暂无数据,￥49
消肿止痛贴,清热消肿，止痛。用于疖疮初起...,
盐酸奈福泮注射液,用于术后止痛、癌症痛、急性外...,
秋水仙碱片,治疗痛风性关节炎的急性发作，...,￥8.9
氨糖美辛肠溶片,消炎镇痛药，临床用于强直性脊...,
吲哚美辛缓释胶囊,适用于类风湿关节炎、风湿性关...,￥16.7
布洛伪麻缓释胶囊,用于缓解由感冒等引起的发热、...,
冰栀伤痛气雾剂,清热解毒凉血，活血化瘀止痛。...,￥36
麝香止痛贴膏,祛风除湿，活血舒筋，消肿止痛...,￥8.3
美洛昔康片,适用于类风湿性关节炎的症状治...,
尼美舒利缓释胶囊,本品为非甾体抗炎药，仅在至少...,￥23.4
樟脑水合氯醛酊,用于龋齿所致疼痛的暂时止痛。,￥2
盐酸奈福泮注射液,用于术后止痛、癌症痛、急性外...,￥9
东乐膏,活血化瘀，消肿止痛。用于跌打...,￥69.5
追风透骨丸,本品祛风除湿，通经活络，散寒...,￥12.6
大七厘胶囊,化瘀消肿，止痛止血。用于跌打...,￥22
秦川通痹胶囊,祛风除湿，通络止痛。用于风寒...,
雪上一枝蒿速效止痛搽剂,舒筋活血，消肿止痛。用于跌打...,￥31.4
奥沙普秦肠溶胶囊,适用于类风湿关节炎、变形性关...,￥24
回生第一散,活血散瘀，消肿止痛。用于跌打...,￥81
田七跌打丸,活血祛瘀，消肿止痛。用于跌打...,￥22
风痛宁片,祛风燥湿，散寒活血，舒筋止痛...,
双氯芬酸钠肠溶片,"用于：
① 缓解类风湿关节炎、...",￥2.5
阿司匹林肠溶片,抑制血小板聚成，防止血栓形成...,￥3
氯唑沙宗片,本品适用于各种急性、慢性软组...,￥2.6
烧伤止痛药膏,清热解毒、消肿止痛。,￥5.4
伤科活血酊,活血行气，祛湿消肿，散瘀止痛...,￥15
盐酸左氧氟沙星氯化钠注射液,本品适用于敏感细菌所引起的下...,￥12.2
脉君安片,平肝熄风，解肌止痛。用于高血...,￥22.3
筋骨止痛膏,舒筋活血，搜风散寒。用于筋骨...,￥18
伤科万花油,清热解毒，祛瘀止血，消肿止痛...,￥4.2
虎力散片,驱风除湿，舒筋活络，行淤，消...,￥18
大七厘片,化瘀消肿，止痛止血，用于跌打...,￥39
筋骨宁搽剂,活血化瘀，消肿止痛，散风祛湿...,￥45.2
阿司匹林肠溶胶囊,本品可以抑制血小板聚集，防止...,￥12
奥沙普秦片中盒,适用于风湿关节炎、类风湿性关...,￥8.9
盐酸纳洛酮注射液,本品是目前临床应用最广的阿片...,￥38
酮咯酸氨丁三醇片,本品适用于需要阿片水平镇痛药...,
尼美舒利片,本品为非甾体抗炎药，仅在至少...,￥4.5
野木瓜片,袪祛风止痛，舒筋活络。用于风...,￥12
骨筋丸胶囊,活血化瘀，舒筋通络，祛风止痛...,
阿司匹林肠溶片,抑制血小板聚成，防止血栓形成...,￥3
清瘟解毒片,清瘟解毒。用于时疫感冒，发热...,￥10
舒筋活血片,适应症：舒筋活络，活血散瘀。...,￥9
布洛芬凝胶,用于缓解局部疼痛如肌肉痛、关...,￥4.6
伤湿祛痛膏,祛风湿、止痛。用于头痛，风湿...,￥15
雪上一枝蒿速效止痛搽剂,舒筋活血，消肿止痛。用于跌打...,￥14
杜仲壮骨丸,益气健脾，养肝壮腰，活血通络...,￥130
参茸壮骨丸,强筋壮骨，祛风散寒，除湿止痛...,￥63.4
甲芬那酸片,用于轻度及中等度疼痛，如牙科...,￥20.3
