中药名,药用部位,药材性状,性味归经,功效与作用,临床应用,药理研究,主要成分|化学成分,使用禁忌,药方
['乌桕子'],['大戟科植物乌桕Sapium sebiferum(L.)Roxb.的种子。'],['椭圆形或半球形，长5～8毫米，直径4～6毫米，表面具白色或灰白色较厚的蜡层，种脊条形，稍隆起，基部有小种阜。除去蜡层，种皮黑褐色或棕褐色，坚硬，不易压碎。胚乳肥厚，类白色，富含脂肪油。气味均淡。'],['性凉，味甘。归肾经、肺经'],['杀虫、利水、通便。属杀虫止痒药。'],['用量3～5克，水煎服，外用适量，煎水洗或捣烂敷患处。外用可治脓疮、疥癣、湿疹、皮肤皲裂。内服可与逐水攻下药配伍用于水肿、便秘。'],['乌桕子有致炎等功效与作用：乌桕种子中佛波酯类在耳部试验中有致炎作用，激活哺乳动物脑部纯化的蛋白激酶C，有一定的促进肿瘤发生作用。'],['乌桕子油中含有强光学活性的三脂酸甘油酯。还含3-α-羟基-21αH-何帕-28-烯、21αH-何帕-28-烯-3-酮。'],['老弱体虚、孕妇及胃溃疡病患者忌服。有毒，中毒症状为恶心、呕吐、腹痛、腹泻等，严重者尚可出现四肢发麻、口唇发麻、面色苍白，心慌、胸闷等。'],['1.治竹木刺入肉：乌桕种子合冷饭粒捣烂敷患处，刺即逐渐浮出。(《泉州本草》)2.治手足皲裂：乌桕子煎水洗。(江西《草药手册》)最近更新时间：2021-11-12']
['一点红'],['本品为菊科植物一点红Eilia sonchifolia (L.) DC.的全草。'],['本品长10～70厘米。根呈现圆锥状，多弯曲。茎呈圆柱形，黄绿色至棕褐色，直径可达0.5厘米，有分枝。体轻质脆，易折断，断面较平坦，髓部占较大部分，类白色。单叶互生，灰绿色至灰褐色，皱缩。茎下部叶卵形，琴状分裂或具钝齿，长4～10厘米，上部叶较小，无柄，常抱茎。头状花序，总苞圆柱状，基部稍膨大，瘦果圆柱形，长3～5毫米。气微，味淡。'],['性凉，味苦。归肺经、胃经、大肠经。'],['清热解毒，消炎，利尿。属清热药下分类的清热解毒药。'],['15～30克；外用适量，鲜品捣烂敷患处。用于肠炎、痢疾、尿路感染、上呼吸道感染、结膜炎、口腔溃疡、疮痈。'],['1.抑菌作用：一点红醇提和水提物对大肠杆菌、绿脓杆菌，福氏痢疾杆菌、伤寒杆菌、肠炎杆菌、金黄色葡萄球菌、乙型溶血性链球菌、肺炎双球菌等均具有抑菌作用。2.抗炎镇痛作用：一点红水提物及醇提物灌胃给药，均能抑制小鼠腹腔毛细血管通透性，减少乙酸所致小鼠扭体次数；水提物能减轻巴豆油致小鼠耳郭肿胀。3.保肝作用：一点红水提物及醇提物灌胃给药，对CCL₄所致急件肝损伤小鼠血清巾ALT、AST活性升高有抑制作用。4.免疫增强作用：一点红水提物和醇提物灌胃给药，能增加免疫功能低下小鼠腹腔巨噬细胞吞噬百分率和乔噬指数。5.益智作用：一点红水提物和醇提物灌胃给药，对小鼠记忆获得障碍有改善作用。6.清除自由基作用：一点红提取物总黄酮对羟自由基有清除作用。'],['叶、茎、根中含微量氢氰酸，全草含黄酮化合物山柰酚-3-β-D-半乳糖苷、槲皮苷、芦丁、槲皮素以及熊果酸等。地上部分含千里光碱、β-谷甾醇、棕榈酸和蜂蜜酸等。'],['过量使用易导致氢氰酸中毒。'],['1.疖、蜂窝组织炎、脓肿、乳腺炎、甲沟炎：一点红、穿心莲、白花蛇舌草、鸡骨香、两面针各50克，共研末。高压消毒后，加凡士林至1000克，即成25%的药膏。敷患处，每日1次。2.大叶性肺炎：一点红、岗梅各30克，十大功劳15～30克。水煎，分2次服，每日1剂。3.泌尿系感染、睾丸炎：一点红、狗肝菜各500克，车前草250克。加水1500毫升，煎成500毫升。每服2毫升，每口3次。4.麦粒肿：一点红、千里光、野菊花各15克。水煎，分2次服，每日1剂。5.小儿上呼吸道感染、急性扁桃体炎：一点红、古羊藤各等量，每斤煎取浓液500毫升。3个月～3岁，每次20～40毫升；3岁以上酌增。最近更新时间：2021-11-08']
['醉鱼草'],['马钱科植物醉鱼草Buddleja lindleyana Fort.的茎叶。'],['小枝呈四棱柱形，表面茶褐色。幼枝具密被黄色星状毛及鳞片。叶对生，椭圆形或卵状披针形，表面浅黄棕色，先端尖，基部楔形或钝圆，全缘或有疏锯齿，质脆易碎。花序穗状，长7～20厘米，花冠4裂，呈暗棕色。气微，味微苦。'],['性温，味苦、辛。有小毒。'],['止咳定喘，活血祛瘀，驱虫。属驱虫药。'],['用量10～30克，水煎服。鲜草量可酌情加大。临床上可用于治疗感冒、咳嗽、哮喘以及跌打损伤，外伤出血。还可治疗钩虫病。'],['醉鱼草有某些杀昆虫和抑菌的功效与作用。'],['醉鱼草全株含醉鱼草苷、醉鱼草糖苷及多种黄酮类成分。'],['本种花叶有毒，如服用过量会引起头晕、呕吐、呼吸困难、四肢麻木和震颤。'],['①治痄腮：醉鱼草15克，枫球7枚，荠菜9克。煮鸡蛋食。(《湖南药物志》)②治瘰疬：醉鱼草全草30克。水煎服。(《湖南药物志》)③治阴疽：鲜醉鱼草叶。酒或醋捣烂，敷患处。(《福建中草药》)④治风寒牙痛：醉鱼草鲜叶和食盐少许，捣烂取汁漱口。(《福建中草药》)最近更新时间：2021-11-07']
['铁苋'],['大戟科植物铁苋菜Acalypha australis L.及短穗铁苋菜A. brachystachya Hormen的干燥全草。'],['本品长20～40厘米，全体被灰白色细柔毛，粗茎近无毛。根多分枝，淡黄棕色，茎类圆柱形，有分枝，表面黄棕色或黄绿色，有纵条纹；质硬，易折断，断面黄白色，有髓或中空。叶片多皱缩，破碎，完整者展平后呈卵形卵状菱形，长2.5～5.5厘米，宽1.2～3厘米，黄绿色，边缘有钝齿，两面略粗糙。花序腋生，苞片三角状肾形，合时如蚌。蒴果小，三角状扁圆形，气微，味淡。'],['性凉，味苦、涩。归心经、肺经、大肠经、小肠经。'],['清热利湿，凉血解毒，消积。属止血药下属分类的凉血止血药。'],['内服：煎汤，10～15克；鲜品30～60克。外用：适量，水煎洗或捣敷。主治痢疾，泄泻，吐血，衄血，尿血，便血，崩漏，小儿疳积，痈疖疮疡，皮肤湿疹。'],['铁苋具有抗菌、平喘的功效与作用。'],['铁苋菜全草含没食子酸、铁苋碱，另含铁苋菜素、大黄素、p-谷固醇、毛地黄内酯、原儿茶酸、乙酸龙脑酯、柏木烷酮、香草酸等成分。'],['老弱气虚者慎服，孕妇禁服。'],['①治吐血：铁苋菜60克，淡竹叶15克。水煎服。（《江西草药》）②治吐血，便血，尿血：铁苋菜全草30克，煎服；或配地榆、甘草。疗效更确切。（南药《中草药学》）③治疳积：铁苋菜鲜全草30～60克，同猪肝煎煮服食。或用铁苋菜鲜品15克，姜、葱各30克，捣烂，加入鸭蛋清拌匀，外敷脚心1夜，隔3天1次，连敷5～7次。重病例内服、外敷并同。（《浙南本草新编》）④治毒蛇咬伤：铁苋菜、半边莲、大青叶各30克。水煎服。（《江西草药》）⑤治湿疹：铁苋菜捣绒，取汁外擦。（《贵州草药》）⑥治哮喘咯血：铁苋菜60克。煎水服。（《贵州草药》）最近更新时间：2021-11-07']
['八角莲'],['本品为小檗科植物八角莲Dysosma versipellis(Hance)M.Cheng ex Ying、六角莲D.pleiantha(Hance)Woods.[D.hispida(Hao)Chun]和川八角莲D.veithchii(Hemsl. et wils.)Fu ex Ying的根及根茎。'],['八角莲呈扁长的结节状，长6～15厘米，直径2～4厘米。表面黄棕色至棕褐色，上面有凹陷的茎基痕，陷窝略重叠，连珠状排列，茎基痕边缘有环状皱纹，底部可见筋脉点突起；下面略平坦，残留须根痕。质硬而脆，结节处易折断，断面淡红棕色或黄白色。气微，味苦。'],['性凉，味苦、辛，有毒。归肺经、肝经。'],['化痰散结，祛瘀止痛，清热解毒。属拔毒生肌药。'],['用量：水煎服，3～9克；外用，捣敷或磨涂、醋调敷患处。主治咳嗽、咽喉肿痛、瘰疬、瘿瘤、痈肿、疔疮、毒蛇咬伤、跌打损伤，痹证。'],['八角莲有兴奋心肌的功效与作用；扩张血管作用；全草中含树脂，能引起猫的吐、泻、死亡。'],['根和根茎含抗癌成分鬼臼毒素和脱氧鬼臼毒素。此外，还分离出黄芪苷、金丝桃苷、槲皮索、山柰酚和谷甾醇。'],['孕妇禁服，体质虚弱者慎服。'],['①治无名肿毒：八角莲、野葵、蒲公英各等分，捣烂，敷患处。(《贵州草药》)②治乳腺癌：八角莲、黄杜鹃各15克，紫背天葵30克，加白酒500克。浸泡7天后，内服外搽，每服9克，每日2～3次。(《全国中草药汇编》)③治瘰疬：八角莲30～60克，黄酒60克。加水适量煎服。(《湖南药物志》)④带状疱疹：八角莲根研末，醋调涂患处。(《广西中草药》)⑤蛾喉：八角莲0.6克研为细粉，加薄荷0.3克，吹入喉中。(《贵州草药》)⑥跌打损伤、风湿痹痛：八角莲根3～9克，水煎，兑酒送服。(南京《中草药学》)⑦毒蛇咬伤：八角莲9～15克，捣烂，冲酒服，渣敷伤处周围。(《广西中草药》)⑧治咳痰：八角莲12克，猪肺60～120克，糖适量。煲汤服。(《广西中药志》)⑨治脱肛：八角莲根10克，将药切细，用甜酒煎熬，内服，一次服完。(《贵州民间方药集》)最近更新时间：2021-11-06']
['海马'],"['来源于海龙科动物线纹海马Hippocampus kelloggi Jordan et Sanyder、刺海马H histrix Kaup、大海马Hkuda Bleeker、三斑海马Htrim,acutatus Leach.和小海马H japonicus Kaup的全体。']",['呈马头、蛇尾、瓦楞身。吻长，两眼深陷，躯干七棱形，尾部四棱形而多弯曲，布满骨质环节，背面有棘突。体轻，骨质，坚硬。气微腥，味微咸。线纹海马：表面黄白色，体上节纹间有许多白色短线纹。刺海马：体背部棘刺明显；大海马体粗长，表面黑褐色。三斑海马：体背的第1、4、7节有黑色圆点。小海马体短小，表面黑褐色。'],['性温，味甘、咸。归肝经、肾经。'],['温肾壮阳、散结消肿。属补虚药下属分类的补阳药。'],['用量3～9克，煎服、或入丸、散；外用适量，研末敷患处。用治阳痿、遗尿、肾虚作喘、�Y瘕积聚、跌扑损伤；外治痈肿疔疮。'],['海马的乙醇提取物具有性激素样作用，可诱生及延长雌鼠和小鼠动情期，对去势小鼠可出现动情期。此外，海马水、醇提取物还具有延缓衰老、促进免疫功能和抗血栓、抗疲劳、抗肿瘤的功效与作用。'],['海马含甾体化合物如胆固醇等；富含蛋白质，含量高达70%以上，以三斑海马最高；另含苏氨酸、缬氨酸、蛋氨酸等17种氨基酸及13种脂肪酸。'],['孕妇及阴虚阳亢者禁服。'],['①治气喘：海马3克，当归6克。炖鸡食或单用海马焙黄研末，水冲服。（《青岛中草药手册》）②治男子阳痿，妇女宫冷不孕：海马1对。炙燥研细粉，每服1克，每日3次，温酒送服。（《现代实用中药》）③治肾阳虚弱，夜尿频繁，或妇女因体虚而白带多：海马12克，杞子12克，鱼膘胶12克(溶化)，红枣30克。水煎服。（《中药临床应用》海马汤）相关推荐文章：海马补肾丸海马酒海马图片最近更新时间：2021-11-04']
['九节菖蒲'],['为毛莨科植物阿尔泰银莲花Anemone altaica Fisch.ex C.A.Mey.的干燥根茎。'],['九节菖蒲略呈纺锤形，微弯曲，长1～4厘米，直径0.3～0.5厘米。表面棕黄色至暗棕色，具多数半环状突起的节(鳞叶痕)，斜向交错排列，节上有1～3个突起的根痕。质硬而脆，易折断，断面平坦，白色，有粉性，可见淡黄色小点(维管束)6～9个，排列成环。气微，味微酸。'],['性温，味辛。归心经、肝经、胃经。'],['开窍化痰，醒脾安神。属开窍药。'],['内服：煎汤，1.5～6克；或入丸、散；或鲜品捣汁服。外用：煎水洗；或鲜品捣敷；或研末调敷。用于热病神昏，癫痫，耳鸣耳聋，胸闷腹胀，食欲不振；外治痈疽疮癣。'],['1.镇静作用：九节菖蒲水煎醇沉液7. 418g/kg(1/5 LD₅₀)，3.709g/kg(1/10 LD₅₀)小鼠腹腔注射给药，对硫贲妥钠40mg/kg的催眠作用有明显的加强，呈协同作用。2.镇痛作用：皮下注射九节菖蒲用热板法在给药后60分钟可延长小鼠反应时间。3.对胃电活动的抑制作用：九节菖蒲水煎剂对大鼠胃电活动有明显的抑制的功效与作用，而该作用在阻断A、B受体后不受影响。'],"['九节菖蒲根茎含脂肪酸：棕榈酸，琥珀酸，5-羟基乙酰丙酸，十六烷酸和9，12-十八碳二烯酸，又含β-谷甾醇，白头翁素，(5R，8R)1，6，9，13-四氧双螺-(4，2，4，2)-十四烷-2, 10-二酮。另含挥发油成分，相对含量较高的有雪松醇，β-桉叶醇，榄香醇。']",['阴虚阳亢、烦躁汗多、精滑者慎服。'],['①治小儿急惊风，高热抽搐：鲜九节菖蒲9克，捣烂滤汁，加姜汁数滴灌服。(《陕甘宁青中草药选》)②治耳聋：九节菖蒲12克，水煎服；或鲜菖蒲捣烂，取汁滴耳。(《甘肃中草药手册》)③治胸腹闷胀，消化不良：九节菖蒲9克，莱菔子15克，六曲12克，水煎服。(《新疆中草药》)最近更新时间：2021-11-03']
['黄芪'],[],['蒙古黄芪：表面灰黄色，栓皮不易脱落。质硬而韧，断面纤维性并显粉性。皮部黄白色，木部淡黄色。气微，味微甜，有豆腥味。膜荚黄芪：表面灰黄色、黄棕色，质硬，较难折断。'],['性微温，味甘。归脾经、肺经。'],[' 补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌。属补虚药下属分类的补气药。'],['用量9～30克，煎汤内服；或入丸、散、膏剂。治疗气短心悸、乏力、虚脱、自汗、盗汗、体虚浮肿、慢性肾炎、久泻、脱肛、子宫脱垂、痈疽难溃、疮口久不愈合、小儿支气管哮喘、慢性乙型肝炎、慢性肾炎和病毒性心肌炎。补气宜炙用，止汗、利尿、托毒排脓生肌宜生用。'],['黄芪对核酸代谢有促进的功效与作用；增强造血功能；改善心肌功能，对抗心肌梗死；具有抗氧化、抗病毒、抗癌、改善肾功能和肾组织病理改变等。水煎剂具调节免疫、抗衰老和抗应激作用。毒性：煎剂LDso为(40±5)克/千克。'],['黄芪主要含黄芪甲苷、黄芪苷、毛蕊异黄酮葡萄糖苷、毛蕊异黄酮、异黄芪苷Ⅰ、异黄芪苷Ⅱ、三萜皂苷、黄酮及多糖等成分。'],['表实邪盛、湿阻气滞、肠胃积滞、阴虚阳亢、痈疽初起或溃后热毒尚盛者，均禁服。'],['①治表虚自汗：防风30克，黄芪(蜜炙)、白术各60克。每服9克，水一钟半，加大枣一枚，煎至七分，去滓，食后热服：(《医方类聚》引《究原方》玉屏风散)②治气虚阳弱，虚汗不止，肢体倦怠：黄芪(去芦，蜜炙)、附子(炮，去皮、脐)各等分。每服12克，水二盏，生姜片、煎至八分，去滓，食前温服，不拘时候。(《严氏济生方》芪附汤)③治吐血不止：黄芪7.5克，紫背浮萍15克。为末。每服3克，姜蜜水下。(《圣济总录》)④治肠风泻血：黄芪、黄连等分。为末、面糊丸如绿豆大。每服三十丸，米饮下。(《传家秘宝》)⑤治尿血、砂淋，痛不可忍：黄芪、人参等分。为末，以大萝卜一个，切一指厚大四五片，蜜60克，淹炙令尽，不令焦，点末。食无时，以盐汤下。(《永类钤方》)相关推荐文章：黄芪的鉴别方法黄芪的养生保健作用与方法黄芪炮制方法与饮片性状黄芪种植技术与栽培管理黄芪的美容功效及方法黄芪的传说故事黄芪酒黄芪膏最近更新时间：2021-10-31']
['防风草'],['唇形科植物广防风Epimeredi indica (L.) Rothm的地上部分。'],['全草长60～180厘米，全体被白色短粗毛。茎四棱形，具明显纵沟，有分枝，表面灰绿色或棕灰色，质稍脆，断面纤维性，中央有近方形的白色髓。叶对生，皱缩卷曲，完整叶片展平后呈阔卵形或卵形；叶上表面灰棕色，叶下表面灰绿色，边缘具疏锯齿，质脆，易碎；有时可见叶腋残留钟形灰绿色花萼。气香浊，味微辛苦。'],['性温，味辛、苦。归膀胱经、肝经、肾经。'],['祛风、除湿、解毒、止痛。属解表药下属分类的辛温解表药。'],['用量9～15克，煎服；外用适量，煎洗或捣敷。用治感冒身热、呕吐、腹痛、筋骨疼痛、疮疡、湿疹。'],['防风草所含的大环三萜类物质体外试验具有抑制KB细胞增长的功效与作用。3种防风草内酯ovatodiolide、4，5-epoxy-ovatodiolide和anisomelic acid对麻醉狗的降压作用、对血管紧张素酶(ACE)的抑制作用、对离体蛙心脏作用以及对牛蛙心房单细胞钙离子流作用的试验表明：后两种物质在剂量为60μm和600μm时对ACE有微弱抑制作用，但对血压没有影响；静脉注射前一种物质具降压作用，并可抑制离体蛙心收缩。3种化合物均可抑制钙离子流动。'],['防风草含卵防风二内酯、4，5-环氧卵防风二内酯、防风酸、4，7-氧环防风酸、4-亚甲基-5-羟基卵防风二内酯。'],['尚不明确。'],['治痈肿：鲜防风草二两，捣烂绞汁调黄酒炖服，渣外敷；或用鲜防风草、两，鲜马鞭草三钱，水煎调酒服。(《福建中草药》)最近更新时间：2021-10-30']
['豆蔻'],['姜科植物白豆蔻Amomum kravanh Pierre ex Gagnep.或爪哇白豆蔻Amomum compactum Soland ex Maton.的成熟果实。按产地不同分为“原豆蔻”和“印尼白蔻”。'],['类球形。表面黄白色至淡黄棕色，有较深的纵向槽纹，顶端有突起的花柱基，基部有凹下的果柄痕，两端均具有浅棕色茸毛。果皮体轻，质脆，易纵向裂开。种子呈不规则多面体，背面略隆起，表面暗棕色，有皱纹，并被有残留的假种皮。气芳香，味辛凉略似樟脑。印尼白蔻个略小，表面黄白色，有的微显紫棕色，果皮较薄，种子瘦瘪，气味较弱。'],['性温，味辛。归脾经、胃经。'],['化湿消痞、行气温中、开胃消食。属化湿药。'],['用量3～6克，入煎剂宜后下；或入丸、散。用治湿浊中阻、不思饮食、湿温初起、胸闷不饥、寒湿呕逆、胸腹胀痛、食积不消。'],['豆蔻对豚鼠实验性结核能增强小剂量双氢链霉素的治疗作用。'],['豆蔻主含挥发油，另含桉油精、a-蒎烯、p-蒎烯、樟脑、月桂烯、丁香烯等。'],['阴虚血燥者禁服。'],['①治胃腹胀满，呕吐：白豆蔻3克，藿香6克，半夏、陈皮各4.5克，生姜6克。水煎服。(《全国中草药汇编》)②治胃冷久呃：沉香、白豆蔻、苏叶各3克，上共为末。每服2.1克，柿蒂汤下。(《寿世秘典》)③治妊娠呕吐：白豆蔻3克，竹茹9克，大枣3枚。将生姜捣碎取汁，取3药煎取1茶杯( 50～60毫升)，过滤，冲姜汁服。[《武汉医药卫生》1959，(3)：288]④治产后呃逆：白豆蔻、丁香各15克。研细。桃仁汤服3克，少顷再服。(《乾坤秘韫》)最近更新时间：2021-10-30']
['地稔根'],['野牡丹科植物地��Melastoma dodecandrum Lour.的根。'],['地��根呈不规则圆柱形短段，常弯曲，有分枝，长3～6厘米，直径4～12毫米，表面灰白色或黄白色，光滑或有细皱纹，栓皮剥落后呈淡红色。质坚硬，不易折断，断面淡红棕色，略显放射状纹理，中心有红棕色小髓。气微，味淡微涩。'],['性平，味微甘、苦。归肺经、脾经、肝经。'],['活血通络、收敛止血。属止血药分类下的收敛止血药。'],['用量5～30克，煎服；或捣汁。外用：煎汤洗或捣敷。用治风湿痹痛、腰腿痛、产后腹痛、崩漏带下、外伤出血。'],['地稔根煎剂在体外对伤寒、痢疾杆菌及金黄色葡萄球菌有抑制的功效与作用。'],['含酚类、鞣质、氨基酸及糖类。'],['孕妇慎用。'],['1.治久嗽不止：地��根、百合、桑根各30克，猪肺1只煎服。(《闽东本草》)2.治黄疸：鲜地茄根90克，白茅根30克，白糖30克，甜酒30克。先将地茄、白茅根煎水，加白糖冲甜酒服。(《湖南药物志》)3.治疝气：地��根60克，加桂圆肉15克(或橘核15克)，炖服。(《福建民间草药》)4.治久疟不愈：地��根30克，凤尾草全草60克，鹅不食草全草15克。白糖为引，水煎2次分服。每日1剂5.治滞产：地��根60克～120克，切碎，加水3-4碗，文火煎至八分碗，去渣顿服。(《福鼎本草》)最近更新时间：2021-10-29']
['罗汉果'],['葫芦科植物罗汉果Momordica grosvenori Swingle.的成熟果实。'],['罗汉果呈卵形、椭圆形或球形，长4.5～8.5厘米，直径3.5～6厘米。表面褐色、黄褐色或绿褐色，有深色斑块及黄色柔毛，有的有6~11条纵纹。顶端有花柱残痕，基部有果梗痕。体轻，质脆，果皮薄，易破。果瓤(中、内果皮)海绵状，浅棕色。种子扁圆形，多数，长约1.5厘米，宽约1.2厘米；浅红色至棕红色，两面中间微凹陷，四周有放射状沟纹，边缘有槽。气微，味甜。'],['性凉，味甘。归肺经、大肠经。'],['清热润肺、滑肠通便。属清热药下属分类的清热解毒药。'],['用量9～15克，内服煎汤。用治伤风感冒咳嗽、咽痛失音、暑热口渴、肠燥便秘。'],['罗汉果可增强机体的细胞免疫功能；大剂量的罗汉果可能提高脾特异性玫瑰花环形成细胞的比率。'],['含罗汉果苷Ⅳ、罗汉果苷V、罗汉果苷Ⅶ，该苷甜度为蔗糖的300倍，苷元是葫芦素类化合物。尚含十多种氨基酸、黄酮、罗汉果苷元-3，24-二-氧-β-葡萄糖苷、D-甘露醇、罗汉果二醇苯甲酸酯、山柰酚和大量果糖。种仁含有油，其脂肪酸有癸酸、月桂酸、肉豆蔻酸、棕榈酸、硬脂酸、油酸及亚油酸等。'],['肺寒及脾胃虚寒者忌服。'],['①治喉痛失音：罗汉果1个，切片，水煎，待冷后，频频饮服。(《食物中药与便方》)②治肺燥咳嗽痰多，咽干口燥：罗汉果半个，陈皮6克，瘦猪肉100克。先将陈皮浸，刮去白，然后与罗汉果、瘦肉共煮汤，熟后去罗汉果、陈皮，饮汤食肉。(《新中医》1982，(11)：45)③治急、慢性支气管炎，扁桃体炎，咽喉炎，便秘：罗汉果15～30克，开水泡，当茶饮。(《全国中草药汇编》)最近更新时间：2021-10-22']
['血风藤'],['为鼠李科植物翼核果Ventilago leiocarpa Benth.的干燥根或茎。'],['血风藤为椭圆形、长圆形或不规则的斜切片，厚0.3-1厘米。栓皮灰棕色，栓皮脱落处现红棕色。切面木部黄色，导管孔单个或多个放射状排列，有的中央有细小的髓；质坚硬。气微，味微苦。'],['性温，味甘、苦。归肝经、肾经。'],['补气养血，祛风通络，强筋健骨。属活血化瘀药下分类的活血调经药。'],['内服：煎汤，15～30克；或浸酒。用于气血虚弱，风湿痹痛，腰膝酸软，筋骨痿弱，四肢麻木，跌打损伤，月经不调，血虚经闭。'],['血风藤具有保肝、抗炎的功效与作用，还能抑制肿瘤细胞株的生长。'],['茎的成分未见报道。根含蒽醌化合物：大黄素，大黄素甲醚，大黄素-6，8-二甲醚，1-羟基-6，7，8-三甲氧基-3-甲基蒽醌，1，2，4，8-四羟基-3-甲基蒽醌，翼核果醌，萘醌化合物：翼核果醌-Ⅰ，翼核果素。还含羽扇豆醇。'],['尚不明确。'],['1.治腰肌劳损：血风藤15克，杜仲18克，炖猪脊骨食用。2.治跌打损伤：血风藤15克，当归12克，川芎10克，水煎服。最近更新时间：2021-10-10']
