药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
吊罗果,中药,为紫金牛科植物长叶酸藤子的全株。Embelia longifolia(Benth.)Hemsl.［samara longifolia Benth.]。全年均可采，洗净，晒干或鲜用。,大鸡母酸;酸盘子;大叶酸藤;长叶酸藤果;马桂花,酸；涩；性平。,利湿；散瘀。主水肿；泄泻；跌打瘀肿
貂尾,中药,为鼬科动物紫貂的尾毛。,黑貂;栗鼠;貂鼠;松狗,甘；平。归肺经,解毒敛疮。主冻疮
吊岩风,中药,为葡萄科植物异叶爬山虎的根、茎或叶。Parthenocissus heterophylla（B1.）Merr.［Ampelopsis heterophylla B1.］。秋、冬季挖取全株，洗净，摘除叶片，根、茎分别切段或切片，鲜用或晒干。,三皮风;三角风;异叶地锦;小叶红藤;青藤;猴仙丹;薁欲;捆仙藤;小风藤;三爪虎;红葡萄藤，上木蛇;上木三叉虎;三叉虎;上竹龙;上树蜈蚣;单吊根;爬山虎;巴山虎;大叶爬山虎;节叶藤;上树蛇;白花藤仔。,微辛；涩；温；无毒。,祛风除湿；散瘀止痛；解毒消肿。主风湿痹痛；胃脘痛；偏头痛；产后瘀滞腹痛；跌打损伤；痈疮肿毒
钓鱼秆,中药,为玄参科植物宽叶腹水草或细穗腹水草的全草。1.Veronicastrum latifolium(Hemsl).Yamazaki[Botryopleuron latifolium Hemsl.]2.Veronicastrum stenostachyum(Hemsl.)Yamazaki。夏季采收，鲜用或晒干。,小钧鱼竿;腹水草;见毒消;一串鱼;串鱼草;小串鱼,味微苦；性凉。,清热解毒；行水；散瘀。主肺热咳嗽；痢疾；肝炎；水肿；跌打损伤；毒蛇咬伤；烧烫伤
钓樟枝叶,中药,为樟科植物红果钓樟的枝叶。Lindera erythrocarpa Makino[L.umbelata Bl.]。春夏秋三季均可采收，洗净切碎，鲜用或晒干。,参考原文,辛；温。,祛风杀虫；敛疮止血。主疥癣痒疮；外伤出血；手足皲裂
吊竹梅,中药,为鸭跖草科植物吊竹梅的全草。Zebrina pendula Schnizl.[Cyanotis zebrina Nees；C.vittata Linl.]。全年均可采收，洗净，晒干或鲜用。,水竹草;金瓢羹;白带草;吊竹菜;紫背金牛;血见愁;鸡舌黄;红舌草;红竹仔草;花叶竹夹菜;二打不死;百毒散;水竹草;金发草;假石蚕;花叶竹节草;红竹壳菜;鸭舌红;红鸭跖草;百书草;花蝴蝶;风眼草;银白风眼草,甘；寒；淡。归膀胱；肺；大肠经,清热利湿；凉血解毒。主不肿；小便不利；淋证；痢疾；带下；咯血；目赤肿痛；咽喉肿痛；疮痈肿毒；烧烫伤；毒蛇咬伤
地白草,中药,为堇菜科植物匍伏堇的全草。Viola diffusa Ging。夏、秋季挖取全草，洗净，除去杂质，晒干或鲜用。,七星莲;天芥菜草;白菜仔;鸡疴粘草;黄瓜草;白地黄瓜;狗儿草;黄瓜菜;细通草;毛毛藤;黄瓜香;野白菜;冷毒草;匍伏堇;小黄瓜香;提脓草;地白菜;王瓜香;银茶匙;石菜;雪里青;抽脓拔;茶匙黄,味苦；辛；性寒。归肺；肝经,清热解毒；散阏消肿；止咳。主疮疡肿毒；眼结膜炎；肺热咳嗽；百日咳；黄疸型肝炎；带状疱疹；水火烫伤；跌打损伤；骨折；毒蛇咬伤
地柏树,中药,为卷柏科植物圆枝卷柏的全草。Selaginella sanguinolenta（L.）Spring［Lycopodium sanguinolenta L.］。全年均可采收，鲜用或晒干。,舒筋草;金鸡尾,苦；凉。,清热利湿；活血舒筋；止血。主湿热痢疾；跌打损伤；内外伤出血；烫伤
地八角,中药,为豆科植物不丹黄芪的全草。Astragalus bhotanensis Baker[A.brachycephalus Franch]。夏、秋季采收，洗净，切碎，晒干。,球花紫云英;土牛膝;旱皂角;地皂角;八角花;野落地松;黄鳝草,苦涩；凉。归肝；肾经,清热解毒，利尿止泻。主咽喉肿痛，咳嗽，麻疹，浮肿，泄泻，痢疾牙痛，口鼻出血
地不容,中药,为防己科植物地不容和去南地不容等的块根。1.Stephania epigaea H.S.Lo［S.delavayi Diels］2.Stephania yunnanensis H.S.Lo。秋、冬季采挖，去除须根，洗净，切片，晒干。,地芙蓉;乌龟梢;金丝荷叶;地乌龟;金线吊乌龟;山乌龟;地胆;抱母鸡;一文钱;荷叶暗消;乌龟抱蛋;金不换。,苦；寒；有毒。归肺；胃；肝经,涌吐痰食品店；截疟；解疮痛。主疟疾；食积腹痛；痈肿疔毒
地蚕,中药,为唇形科植物地吞的根茎或全草。Stachys geobombycis C.Y.Wu。秋生采收根茎，洗净，鲜用或蒸熟晒干备用。,土虫草;土冬虫草;白冬虫草;白虫草;肺痨草;土石蚕,味甘；性平。归肺；肾经,益肾润肺；补血消疳。主肺痨咳嗽吐血；盗汗；肺虚气喘；血虚体弱；小儿疳积
地打果树皮,中药,为紫金牛科植物小乔木紫金牛的茎皮。Ardisia arborescens Wal1.「A.humilis Vahl var.arborescens(Wall.)C.B.Clarke]。夏、秋季剥取茎皮，晒干。,参考原文,辛；性平。,解表退热；宣肺平喘；活血散瘀。主感冒发热；哮喘痰多；月经不调；产后恶露不尽
地胆,中药,为芫青科动物地胆和长地胆的全虫。1.Meloe coarctatus Motschulsky2.Meloe violcews Linnaeus。夏、秋捕捉，用沸水烫死、晒干或烘干。,蚖青;杜龙;青虹;蛇要;青蟊;青蠵,味辛；性微温；有毒。归肺经,玫毒；逐瘀；消症。主瘰疬；恶疮；鼻息肉；症瘕痞块
跌打草,中药,为爵床科植物十万错的茎、叶。Asystasia gangetica (L.) J. Anders. [Justicia gangetica L.; Ruellia coromandelina Wall.; A.che-lonoides Nees; A. coromandelinus Nees]。全年均可采，多为鲜用。,细穗爵床;盗偷草,味辛；性平。,散瘀消肿；接骨止血。主跌打肿痛；骨折；外伤出血
蝶兰,中药,为兰科植物蝶兰的全草。Phalaenopsis wilsonii Rolfe。夏、秋季采收，鲜用或晒干。,小接筋藤;金环草;缩筋草;分筋草,味苦；微辛；性温。,疏风解表；舒筋活络；接骨止痛。主感冒发热；头痛；风湿痹痛；跌打损伤；骨折
迭裂黄堇,中药,为罂粟科植物迭裂黄堇的全草。Corydalis dasyptera Maxim。夏、秋季连根采挖，洗净，阴干或晒干。,厚翅紫堇。,苦；涩；寒；有毒。归心；肝；胃经,清热解毒；止血敛疮。主热病高热；黄疸型肝炎；肠炎；外伤出血；疮疡溃后久不收口
蝶毛菌,中药,为多孔菌科真菌毛革盖菌的子实体。,参考原文,,祛风除湿；清肺止咳；祛腐生肌。主风湿疼痛；肺热咳嗽；疮疡脓肿
跌破勒,中药,为大风子科植物长叶柞木的叶、刺及种子。Xylosma longifolium Clos。叶、刺全年均可采；果实成熟时采收，晒干；叶鲜用。,小角刺;铁梨木;凿子树,味苦；涩；性寒。,清热利湿；活血祛瘀；消肿止痛；催乳。主黄疸；水肿；跌打损伤；骨折；经闭；痈肿疮毒；乳汁不通；疮癣；瘰疬
地蜂子,中药;苗药,为蔷薇科植物三叶委陵菜和中华三叶委陵菜的根及全草。1.Potentilla freyniana Bornm.2.Potentilla freyniana Bornm.var.sinica Migo。夏季采挖带根的全草，洗净，晒干或鲜用。,狼牙委陵菜;铁秤砣;铁钮子;山蜂子;三爪金;播丝草;地蜘蛛;铁枕头;白里金梅;三片风;地风子;三叶蛇子草;蜂子芪;独脚伞;独脚委陵菜;三叶翻白菜;三叶薄扇;三叶蛇莓;大花假蛇莓;三张叶;软梗蛇扭;毛猴子;蜂子七;土蜂子;大救驾;地骨造;独立金蛋;三叶委陵菜;三叶翻白草;白地莓;补叉努豆（苗药名）,甘；温。归肺；大肠；胃；肝经,清热解毒，敛疮止血，散瘀止痛。主咳嗽，痢疾，肠炎，痈肿疔疮，烫伤，口舌生疮，骨髓炎，骨结核，瘰疬，痔疮，毒蛇咬伤，崩漏，月经过多，产后出血，外伤出血，胃痛，牙痛，胸骨痛，腰痛，跌打损伤
地肤苗,中药,为藜科植物地肤的嫩茎叶。Kochia scparia（L．） Schrad[Chenopodi－um scopariumL.」。春、夏季割取嫩茎叶，洗净，鲜用或晒干。,扫帚苗,苦；性寒。归肝；脾；大肠经,清热解毒；利尿通淋。主赤白痢；泄泻；小便淋痛；目赤涩痛；雀盲；皮肤风热赤肿，恶疮疥癣
地柑,中药,为天南星科植物地柑的全草。Pothos pilulifer Buchet ex Gagn。全年均可采，节段，晒干。,葫芦藤,甘；寒。归心经,清心泻火；凉血止血。主癫狂；尿血；鼻衄
地膏药,中药,为菊科植物贴生鼠曲草的全草或叶。Gnaphlium adnatum (Wall.ex DC.) Kitam. [Anaphalis adnata Wall.ex DC.; Gnaphalium foirmosanum Hayata]。一秀鲜用，也可于秋季采收晒干。,岩白菜;雾水草;白头翁;地毛香;棱干青;野水牛蒿;兔耳风;老鸦绵;大棉花草,味苦；性寒。,清热燥湿；解毒散结；止血。主湿热痢疾；痈疽肿毒；瘰疬；外伤出血。
地瓜根,中药,为桑科植物地瓜榕的根。Ficus tikoua Bur。夏、秋季间采挖全株，除去地上部分，洗净，晒干或鲜用。,参考原文,苦；涩；性凉。归脾；肾经,清热利湿；消肿止痛。主泄泻；痢疾；黄肿；风湿痹痛；遗精；自带；瘰疬；痔疮；牙痛；跌打伤痛
地瓜果,中药,"为桑科植物地瓜榕的隐花果（榕果）,晒干。Ficus tikoua Bur。夏季采收尚未成熟的隐花果（榕果），晒干。",地石榴;地郎果;地枇杷果;地瓜,味甘；性微寒。,清热解毒；涩精止遗。主咽喉肿痛；遗精滑精
地瓜藤,中药;苗药,为桑科植物地瓜榕的茎、叶。Ficus tikoua Bur。9-10月采收，洗净晒干。,过江龙;土瓜;地蜈蚣;过山龙;牛马藤;过石龙;铺地蜈蚣;地瓜茎;牛托鼻;拦路虎;地木耳;野地瓜藤;霜坡虎;爬地牛奶;钻地龙;遍地金;地板藤;地枇杷;万年扒;地石榴;榜拉梯（苗药名）,味苦;性寒。,清热利湿;活血通络;解毒消肿。主肺热咳嗽；痢疾；水肿；黄疽；小儿消化不良；风湿疼痛；经闭；带下；跌打损伤；痔疮出血；无名肿毒
地贵草,中药,为茜草科植物滇桂蛇根草的根。Ophiorrhiza succirubra King ex Hook.f。全年均可采，鲜用或晒干。,参考原文,辛；温。,舒筋活络；祛风除湿。主风湿筋骨痛；劳伤疼痛
地牯牛,中药,为蚁蛉科动物黄足蚁蛉的幼虫。Hagenomyia micans(Maclchlan)。春、秋季捕捉，鲜用，或用沸水烫死，晒干或烘干。,砂挼子;倒行狗子;睡虫;沙谷牛;沙牛;蚁狮;金沙牛;地拱;沙猫,味辛；咸；性平；有毒。归膀胱经,通淋；截疟；软坚消症；拔毒去腐。主砂淋；疟疾；疟母；腹腔症块；瘰疬结核；阴疽久溃不倒敛
地核桃,中药,为堇菜科植物毛果堇菜的全草。Viola collina Bess。夏、秋间采收，洗净，鲜用或晒干。,山核桃;箭头草;匙头菜;银地匙;白毛叶地丁草;地丁子;怀胎草。,味苦；辛；性寒。归肺经,清热解毒；散瘀消肿。主疮疡肿毒；肺痈；跌打损伤疼痛；刀伤出血；外感咳嗽
地红子根,中药,为蔷薇科植物小叶平枝灰栒子的根。Cotoneaster horizontalis Decne. Var. Perpusilla Schneid。全年可采。,参考原文,酸、涩；凉。归肝、胃经,清热，除湿，止血，止痛。主痢疾，白带，吐血，痛经
地黄瓜,中药,为堇菜科植物紫花堇菜的全草。Viola grypoceras A. Gray。夏、秋季采收，洗净，鲜用或晒干。,肾气草;黄瓜香;犁头草。,凉微苦；性凉。,清热解毒；散瘀消肿；凉血止血。主疮痈咽喉红肿；乳痈；急怀结膜炎；刀伤出血；跌打损伤；便血；刀伤出血；蛇咬伤
地筋,中药,为禾本科植物黄茅的根茎或全草。Heteropogon contortus(L.) Beauv.ex Roem.et Schult。全年均可采收。,菅根;土筋;黄菅;毛针子草;茅刺草;扭黄茅,甘；寒。,清热止渴；祛风除湿。主热病消渴；风湿痹痛；咳嗽；吐泻
地锦,中药;苗药,为葡萄科植物爬山虎的藤茎或根。Parthenocissus tricuspidata (Sieb.et Zucc.)Planch.[Ampelopsis tricuspidata Sieb.et Zucc.]。藤茎部于秋季采收，去掉叶片，切段；根部于冬季挖取，洗净，切片。,地噤;常春藤;土鼓藤;红葡萄藤;红葛;大风藤;过风藤;三角枫藤;蝙蝠藤;爬岩虎;野枫藤;日光子;枫藤;爬龙藤;野葡萄;腹水藤;三叶茄;假葡萄藤;走游藤;飞天蜈蚣;大叶山天蓼;爬树龙;红风藤;reibbludkeibliul锐朴克了（贵州松桃）;vobgelgangbqangk窝给干枪（贵州黔东南）斑鸠窝;嘎羊厂（苗药名）,味辛；微涩；性温。归肝经,祛风止痛；活血通络。主风湿痹痛；中风半身不遂；偏正头痛；产后血瘀；腹生结块；跌打损伤；痈肿疮毒；溃疡不敛
地锦槭,中药,为槭树科植物色木槭的枝、叶。Acer mono Maxim.［A.pictum Thunb.］。夏季采收，鲜用或晒干。,红枫叶;色木;五龙皮。,辛；苦；温。,祛风除湿；活血止痛。主偏正头痛；风寒湿痹；跌打瘀痛；湿疹；疥癣
地锦苋,中药,为苋科植物银花苋的全草。Gomphrena celosioides Mart。春、夏间采收全草，洗净，鲜用或晒干用。,参考原文,甘；性凉。,清热利湿。主痢疾
地灵根,中药,为木犀科植物紫药女贞的根。Ligustrum dela-vayanum Hariot。全年或秋季采挖，洗净泥土，切片，鲜用或暇干。,地柏灵根,苦；性寒。,清热利尿；消食健胃。主湿热尿淋；肝炎；消化不良
地莓子,中药,为蔷薇科植物黄果悬钩子RubusxanthocarpusBur.etFranch.的根。Rubus xanthocarpus Bur.et Franch。春、秋季挖根，除去茎叶及细根，洗净，切片，晒干。,黄帽子;黄刺儿根,酸；微寒。归肝经,清热解毒。主风火烂眼；目赤肿痛；疮疡肿毒
地绵绵,中药,为唇形科植物小野芝麻的块根。,蜘蛛草,,止血。主外伤出血
地磨薯,中药,为梧桐科植物细齿山芝麻的根。Helicteres glabriuscula Wall。夏、秋季采收，洗净，切片，晒干。,野芝麻棵;小黑药;野芝麻根。,苦；寒。,截疟；清热解毒。主疟疾；感冒发热；麻疹；痢疾；毒蛇咬伤
地膜香,中药,为唇形科植物阿尔泰百里香的全草。Thymus altaicus Klok. Et Shost。7-8月采收，洗净，晒干。,百里香;地椒,味辛；性凉；小毒。,清热解毒；利水通淋；杀虫。主感冒咳嗽；咽喉肿痛；热淋涩痛；疮痈肿毒；灭蚤虱蚊虫
疔毒草,中药,为堇菜科植特裂叶堇菜的全草或根、根茎。Viola dissecta Ledeb。夏、秋季采挖，洗净，鲜用或晒干。,参考原文,味苦；性寒。归心；胆；脾；肝经,清热解毒；利湿消肿。主疔疮肿毒；麻疹热毒；肺炎；胸膜炎；淋浊；白带；肾炎
丁癸草根,中药,为豆科植物丁癸草的全草。Zornia gibbosa Spanoghe [Zornia diphylla （L.）pers。夏、秋季采挖，除去茎叶、泥土，洗净，鲜用或晒干。,参考原文,味甘；性凉。归脾经。,清热解毒。主痈疽；疔疮；脚气浮肿；瘰疬；蛇伤
顶果膜蕨,中药,为膜蕨科植物顶果膜蕨的全草。Hymenophyllum khasyanum Hook.et Bak.［H.denticulatum var.flaccidum Clarke］。夏、秋季采收，晒干或鲜用。,参考原文,微涩；平。,止血生肌。主外伤出血
丁锅树叶,中药,为野牡丹科植物匙萼柏拉木的叶。Blastus caualeriei Levl.et Van。夏、秋季采收，鲜用或晒干。,参考原文,味涩；性平。,止血；止带。主外伤出血；白带
丁榔皮,中药,为山茱萸科植物（木来）木的树皮。Swida macrophylla (Wall.)Sojak。全年均可采，剥取树皮，切段，晒干。,松杨木皮,味苦；性平。,祛风通络；利湿止泻。主筋骨疼痛；肢体瘫痪；痢疾；水泻腹痛
丁蛎,中药,为钳蛤科丁蛎的壳。Malleus malleus(Linnaeus)。四季均可捕捉，捕得后去肉取壳，洗净，晒干。,白丁蛎;螺蛟;丁字贝;海丁子,味甘；咸；性寒。归心；肝经,清热解毒。主湿疮；疖肿
钉头果,中药,为萝科植物钉头果的地上部分。Gomphocarpus fruticosus (L) R.Brown[Asclepias fruticosa]。夏、秋季采收，切段，晒干或鲜用【原形态】灌木。,参考原文,甘；平。归脾；胃经,健脾和胃；益肺。主小儿呕吐；泄泻；不思纳食；肺痨咳嗽
顶头马蓝,中药,为爵床科植物头马蓝的全草。Tarphochlamys affinis (Griff.) Bre-mek. [Adenosina affinis Griff.; Strobilanthes FFINIS (Griff.)Y. C. Tang]。夏、秋季采收，洗净，鲜用或晒干。,癣药,味苦；辛；性凉。,杀虫止痒。主治癣；疥疮
丁香根,中药,为桃金娘科植物丁香的树根。SyZygium aromaticum (L.) Merr. Et Perry [Eugenia aromaticea Kuntze; E. caryophyllata Thunb.]。秋季挖根，洗净，切片，晒干。,参考原文,味辛；性平；有小毒。归肺经。,散热解毒。主风热肿毒
丁香蓼根,中药,为柳叶菜科植物丁香蓼的根。Ludwigia prostrata Roxb。秋季挖根，洗净，晒干或鲜用。,参考原文,味苦；性凉。,清热利尿；消肿生肌。主急性肾炎；刀伤
丁香露,中药,为桃金娘科植物丁香干燥花蕾的蒸馏液。,参考原文,味微辛；性微温。,温胃止痛；理气止痛。主寒僻；胃痛
丁香树皮,中药,为桃金娘科植物丁香的树皮。Syzygium aromaticum(L.) Merr. Et Perry。全年均可采。,丁皮;丁香皮,味辛；性温。归脾；胃经,散寒理气；止痛止泻。主中寒脘腹痛胀泄露泻；齿痛
丁香油,中药,为桃金娘科植物丁香的干燥花蕾经蒸馏所得的挥发油。,参考原文,味辛；甘；性热。归脾；胃；肾经,暖胃；降逆；湿肾。主胃寒痛胀；呃逆；吐泻；痹痛；疝痛；口臭；牙痛
丁香枝,中药,为桃金娘科植物丁香的树枝。Syzygium aromaticum(L.) Merr.Et Perry。全年均可采，切段，晒干。,参考原文,味辛；性平。归脾；胃经,理气散寒；温中止泻。主脘腹胀满；恶心；泄泻虚滑；水谷不消
地盘松球,中药,为松科植物地盘松的幼嫩球果。Pinus yunnanensis Franch var. Pyg-maea (Hsüeh) Hsüeh [P.densata Mast.var.pygmaea Hsüeh]。春季采摘绿嫩幼果，鲜用。,参考原文,苦；性温。归膀胱经,升阳消气。主疝气偏坠
地皮消,中药,为爵床科植物地皮消的全草。Pararuellia delauayana (Baill.) E. Hossain [Ruellia delauayana Baill.; Hemigraphis drymophila Diels;Ruellia drymophila (Diels) Hand.-Mazz;Pararrueeia dry-mophila (Diels) C. Y. Wu et H. S.,地皮胶;刀口药;蛆药;一扫光;红头翁;岩威灵仙,味微苦；辛；性凉。,清热解毒；散瘀消肿。主肺热咳嗽；咽喉肿痛；痄腮；瘰疬；痈肿疮毒；跌打骨折；外伤感染
地茄子,中药,为桔梗科植物铜锤玉带草的果实。Pratia nummularia (Lam.) A. Br. Et Ascher。8-9月采收，鲜用或晒干。,小铜锤;地钮子;地扣子;地石榴;米汤果,味苦；辛；性平。,祛风；利湿；理气；散瘀。主风湿痹痛；疝气；跌打损伤；遗精；白带
地菍,中药,为野牡丹科植物地菍的全草。Melastoma dodecandrum Lour。5-6月采收，洗净，除去杂质，晒干或烘干。,山地菍;地茄;铺地锦;地吉桃;地葡萄;地红花;金头石榴;地石榴;铺地菍;红地茄;落地菍;地菍藤;矮脚补翁;杜茄;土地榆;小号埔淡;铺地粘,味甘；涩；性凉。归心；肝；脾；肺经,清热解毒；活血止血。主高热；肺痈；咽肿；牙痛；赤白痢疾；黄疸；水肿；痛经；崩漏；带下；产后腹痛；瘰疬；痈肿；疔疮；痔疮；毒蛇咬伤
地菍根,中药,野牡丹科植物地菍的根。Melastoma dodecandrum Lour。8-12月采挖，洗净，切碎，晒干或鲜用。,地茄根;地稔根;火炭泡,味苦；微甘；性平。归肝；脾；肺经,活血；止血；利湿；解毒。主痛经；难产；产后腹痛；胞衣不下；崩漏；白带；咳嗽；吐血；痢疾；黄疸；淋痛；久疟；风湿痛；牙痛；瘰疬；疝气；跌打劳伤；毒蛇咬伤
地菍果,中药,为野牡丹科植物地菍的果实。Melastoma dodecandrum Lour。7-9月果实成熟时分批采摘采收，晒干。,参考原文,味甘；性温。归肾；肝；脾经,补肾养血；止血安胎。主肾虚精专；腰膝酸软；血虚萎黄；气虚乏力；经多；崩漏；胎动不安；阴挺；脱肛
地涩涩,中药,为玄参科植物小婆婆纳带虫瘿的全草。Veronica serpyllifolia L。6-7月采收果实中有虫瘿的全草，蒸后晒干或鲜用。,荞皮草;仙桃草;小对经草,味甘；苦；涩；性平。归肝经,活血散瘀；止血；解毒。主跌打损伤；月经不调；创伤出血；口疮；烫火伤
地沙,中药,为水玉簪科植物三品一枝花的根茎及根。Burmannia coelestis D. Don。秋季采挖，除去茎叶，洗净晒干。,米洋参,平；甘。,健脾消积；。主小儿疳积；消化不良
地梢瓜,中药;蒙药,为萝藦科植物细叶白前的全草。1.Cynanchum thesioides (Freyn) K. Schum.2.Cynanchum thesioides (Freyn) K. Schum.var.aus-trale(Maxim.)Tsiang et P.T.Li[C.sibiricum R.Br.var.aus-trale Maxim. Et Kom.]。夏、秋季采收、洗净、晒干【原形,女青;山角;地瓜儿;羊不奶果;小丝瓜;浮瓢棵;老瓜瓢;沙奶奶;马奶奶;沙奶草;细叶牛皮消;雀瓜;罗汉草;地瓜子;地葛;地瓜瓢;盘龙草;牛梢瓜;羊奶草;羊巴奶;乌市森-特莫恩-胡乎;乌布森-部格莫宁;特莫恩-胡乎（蒙药名）,味甘；性凉。归肺经,补肺气；清热降火；生津止渴；消炎止痛。主虚火上炎；咽喉疼痛；气阴不足；神疲健忘；虚烦口渴；头昏失眠；产后体虚；乳汁不足
滴水珠,中药,为天南星科植物滴水珠的块茎。Pinellia cordata N.E.Br。春、夏季采挖，洗净，鲜用或晒干。,水半夏;深山半夏;石半夏;独叶一枝花;一粒珠;石里开;一滴珠;水滴珠岩芋;天灵芋;岩珠;蛇珠;独龙珠;单叶半夏;制蛇子;心叶半夏;石蜘蛛;地金莲;夏无影;岩隙子,味辛；性温；小毒。归肝经,解毒消肿；散瘀止痛。主毒蛇咬伤；乳痈；肿毒；深部脓肿；瘰疬；头痛；胃痛；腰痛；跌打损伤
棣棠花,中药,为蔷薇科植物棣棠花及重瓣棣棠花的花或枝叶。Kerria japonica (L.) DC.[Rubus japonicus L.]。4-5月采花，晒干。,画眉槓;鸡蛋花;三月花;青通花;通花条;地棠;黄度梅;金棣棠;黄榆叶梅;麻叶棣棠;地团花;金钱花;蜂棠花;小通花;清明花;金旦子花。,苦、涩；平。归肺；胃；脾经,化痰止咳；利尿消肿；解毒。主咳嗽，风湿痹痛，产后劳伤痛，水肿，小便不利，消化不良，痈疽肿毒，湿疹，荨麻疹
地棠花,中药,为蔷薇科植物绣线梅的花。Neillia thyrsiflora D.Don。7-8月花开时采摘，晒干。,参考原文,,抗痨。主肺痨
丢了棒,中药,为大戟科植物白桐树的根、叶。Claoxylon indicum （Reinw.ex Bl.）Hassk.[Erythrochilus indicus Reinw.ex Bl.；Claoxylon polot（Burm.f.）Merr.]。秋季采收，洗净，晒干。,追风根;赶风债;赶风柴;刁了棒;大叶大青。,味苦；辛；微温；小毒。归脾；肾经,祛风除湿；散瘀止痛。主风湿痹痛；跌打肿痛；脚气水肿；烧、烫伤及外伤出血
地乌,中药,为毛茛科植物林荫银莲花的根茎。Anemone flaccida Fr.Schmidt。春、夏采收，洗净，晒干。,蜈蚣三七;地雷;黑地雷;金串珠;二轮七,温；辛；微苦。归肝经,祛风湿；利筋骨。主风湿疼痛；跌打损伤
地下明珠,中药,为茅膏菜科植物茅膏菜DroserapeltataSmithvar.multisepalaY.Z．Ruan或光萼茅膏菜D.peltataSmithvar.glabrataY.Z．Ruan的球茎。1.Drosera peltata Smith var.multisepala Y.Z.Ruan［D.peltata Smith var.lunata.non Clarke］2.Drosera peltata,落地珍珠;铁秤锤;土地子;一粒金丹;陈伤子;铁钮子;山砒霜;泥里珠;寸金黄;一滴金丹;地下珍珠;内宝珠;茅膏菜根。,甘；微苦；平；有小毒。归肺；肝；胃经,祛风胜湿；活血止痛；散结解毒。主筋骨疼痛；腰痛；偏头痛；跌打损伤；疟疾；瘰疬；肿毒；目赤；翳障；疥疮；亦可用于小儿破伤风；肺炎；感冒
地仙桃,中药,为紫草科植物梓木草或大紫草的果实。Lithospermum zollingeri D C.[Buglos-soides zollingeri(DC.) Jlhnst.]。7-9月果熟时采收，晒干。,接骨仙桃草;马非,甘辛；温。归脾胃经,温中散寒；消肿止痛；消肿止痛。主明脘冷痛作胀；泛吐酸水；跌打肿痛；骨折
滴血根,中药,为菊科植物麻叶蟛蜞菊的根。Wedelia urticifolia DC。秋后采挖，鲜用或切片晒干。,小血藤;接骨草;女金丹,味甘；性温。,补肾；养血；通络。主肾虚腰痛；气血虚弱；跌打损伤
地血香,中药,为五味子科植物异型南五味子的根或藤茎。Kadsura heteroclita（Roxb.）Craib[Uvaria heteroclita Roxb.］。全年均可采挖，切片，晒干。,大饭团;梅花钻;风藤;吹风散;大钻骨风;绣球香;通血香;风藤;红吹风;南蛇风;冷饭团;大风沙藤;过山龙藤;海风藤;大叶过山龙;大通血香;大红袍,辛；苦；性温。归脾；胃；肝经,祛风除湿，；行气止痛；舒筋活络。主风湿痹痛；胃痛；腹痛；痛经；产后腹痛；跌打损伤；慢性腰腿痛
地血香果,中药,为五味子科植物异型南五味子的果实。Kadsura heteroclita（Roxb.）Craib[Uvaria heteroclita Roxb.］。夏秋采收，除去果柄，晒干。,参考原文,辛；性微温。,益肾宁心；祛痰止咳。主肾虚腰痛；神经衰弱；支气管炎
地杨梅,中药,为灯芯草科植物地杨梅和多花地杨梅的全草或果实。1.Luzula capitata (Miq.)Miq.ex Kom.[L.campestris(L.)DC.var.capitata Miq.] 2.Luzula multiflora(Retz.)Lej.[Juncusmultiflora Retz.；L.campestris(L.)DC.var.multiflora(Retz.)C.B.Clark,参考原文,辛；平。归胃；肠经,清热止痢。主赤白痢
地羊鹊,中药,为豆科植物百脉根LotuscorniculatusL.的地上部分。Lotus corniculatus L。夏季采收地上部分，鲜用或晒干。,斑鸠窝;酸米子;小花生藤;黄花草;黄瓜草;金花菜。,甘；微苦；凉。归肺；胃经,清热解毒；止咳平喘；利湿消痞。主风热咳嗽；咽喉肿痛；胃脘痞满疼痛；疔疮；无名肿毒；湿疹；痢疾；痔疮便血
地涌金莲,中药,为芭蕉科植物地涌金莲的花。Musella lasiocarpa (Franch.) C. Y. Wu ex H.W.Li[Musa lasiocarpa Franch.;Ensete lasiocarpum(Franch.)Cheesm.]。夏、秋季花期采收，晒干或鲜用。,地金莲;地涌莲,味苦；涩；性寒。归大肠经,止带；止血。主白带；崩漏；便血
地毡草,中药,为茅膏菜科植物匙叶茅膏菜的全草。Drosera spathulata Labill。夏、秋采收，洗净泥土，鲜用或晒干。,金雀梅;小毛毡苔;天地花;地红花。,淡；寒。归心；肺；胃经,清热利咽；凉血解毒。主感冒；肺痈；咳嗽；口渴；吐血；咯血；喉蛾；疔疮；淋病
地朝阳,中药,为菊科植物棉毛尼泊尔天名精的全草。Carpesium nepalense Less. Var. Lanatum (Hook.f .et T. thoms .ex C. B. Clarke) Kitam.[C.cenuum L.var .lanatum Hokk. F. et C. B. Clarke]。春、夏季采收，鲜用或切段晒干。,棉毛倒提壶;鬼马石;倒提壶;野葵花;野烟;野叶子烟;挖耳子草,味苦；性寒。,清热解毒。主痛肿疮毒；疥疮；脓疱疮
鸐雉,中药,为雉科动物长尾雉的肉。,翟;山雉;翟鸡;山鸡;鸐鸟,味甘；性平；小毒。归脾；肺经,补中益气；平喘。主气虚喘促；体虚乏力
